country,emb_0,emb_1,emb_2,emb_3
1A,0.17442404750580703,-0.28580707282782686,0.03458665991910737,-0.21049364260790332
1W,-0.012360751355098325,-0.3291296976583182,-0.08738153257654016,0.037843224613857064
4E,-0.14815447978591714,-0.34772324513055664,-0.4590962525611378,-0.12360168422495786
7E,-0.6906414536164527,-0.40779497181511143,-0.3912556889083169,-0.2711513681425217
8S,1.121287630206659,-0.08548445506619504,-0.940300515460661,0.31047214006913604
AD,-2.1555257159673413,-0.09904513613802526,1.090774663308155,0.0916814876571624
AE,-2.3549021714266387,-0.0864024824155423,1.196469004030822,0.4992877119581842
AF,2.3810747391979885,-0.013856766475558866,-0.791427266584295,0.15982132618295827
AG,-0.6006505690849169,-0.6964834666562193,-1.2967339762519021,1.5987014068927015
AL,0.13865420064833758,-0.23405840757622792,-0.686938260779528,-0.16299414678157742
AM,-0.05853263373037685,-0.24846982367991308,-0.4089131197268232,-0.48811479382058404
AO,1.7206477884523297,0.3910742621444317,1.0830695571227984,-0.6426471697900863
AR,-1.5875486700545218,-0.36129146132492834,0.049273355898495415,-0.8280898262804461
AT,-1.840180557281823,-0.2296226478365807,0.6701244223678338,0.8503631278883858
AU,-2.8173985987261188,-0.4193974099521898,0.24355256147046928,0.3799532919323705
AW,-1.940487075668955,-0.3734939628599358,-0.6850273936948308,0.6973795672536104
AZ,-0.49753925096233764,-0.438483045888375,-0.5217920238546027,0.06983140544374553
B8,-1.1573350179205455,-0.4110812394321231,-0.1140747123972811,0.4200865576395272
BA,-0.12647472155320477,-0.4869964735149975,-0.6169932278041579,0.19671438291239496
BB,-0.9944673754936783,-0.30150115790447385,-0.7739508375696045,0.160498426781663
BD,1.2496843121090968,0.3175017345446226,-0.8896463545280494,0.40083887553308317
BE,-3.1381222893674545,-0.30569128739236157,0.06547655456449725,0.5371167597507858
BF,3.6969203787223397,0.6226427287593445,0.9450533441757827,0.5070428047584314
BG,-1.165612655030772,-0.40280413565517786,-0.09976716616400279,-0.1953367063075552
BH,-2.4982626339887823,0.7477134262954355,0.7413469722998279,-0.4077041579929293
BI,4.576609341364473,1.1200740564437437,0.7335152837973852,0.6292502407988367
BJ,3.0104607184938397,0.6482718338563854,0.7588834110386771,-0.3982081952918971
BM,-2.888967467787257,0.7396574910119494,2.0956597306627915,0.42137316992425067
BN,-2.046422679354689,-0.03778943643451308,1.3981251979326805,0.9246482113615593
BO,-0.24086786088802334,-0.35917849445035305,-0.33387030985371097,-0.6217658111456571
BR,-1.2256701791874451,-0.4234927664161614,-0.16914363706703917,-0.9094502073182799
BS,-1.2063406657161162,-0.32168754140782896,0.44867573621955764,-0.5121692527399136
BT,0.5057324735673088,-0.41414269304022383,-0.9058003578896361,0.38436821250300546
BW,0.18237642270035778,-0.15359249093528768,0.5448394131126373,-0.25065447084708564
BY,-1.0452819558430761,-0.3383826706035363,-0.07460416747900961,-0.4416395909426134
BZ,0.28302266533284176,-0.4806395832931078,-0.7601839052536707,0.2952958296006834
CA,-2.1141488528106196,-0.2946198441066738,0.6332052114543737,0.291969949452735
CD,2.7604283021947063,0.4348211787074369,1.011755366563405,0.12311810865719207
CF,4.497458961914618,1.0517736266870066,1.60816379820268,-0.4057205345948751
CG,0.7689718643462548,-0.0031502120363385883,0.3641471970857193,-0.22880280961362637
CH,-2.444898050398186,-0.03007754633549928,1.2454602455413812,0.8550860695732209
CI,1.817182645438417,0.17104618289360746,0.2875604992164159,-0.3956859212810163
CL,-1.4973132097926543,-0.3709315802509698,0.1218474905733671,-0.6989161217336594
CM,1.8295541905920774,0.18994543854928547,0.3765630250724827,-0.4686227374455832
CN,-0.39251339357036447,-0.357338496626595,-0.42704769325559105,-0.19159165056926047
CO,-0.8666851781291324,-0.3980949024401805,-0.2943014474764138,-0.6687219154099524
CR,-1.5800502074372853,-0.5284543980632889,-0.5903775140221593,-0.2611554662267553
CV,-0.4553974226832386,-0.3912140259307455,-0.45611217253563835,-0.6207944117581524
CW,-2.2364456078663295,-0.3988883569154844,-0.2774729861794742,-0.5562753087492938
CY,-1.4316982532577882,-0.33926837968550366,0.15174732420423181,0.4229938632540331
CZ,-1.5947301676832804,-0.2968575071227019,0.2968414192314625,0.27090957612625594
DE,-2.0991670607387793,-0.11756291862584106,0.8576893197512268,0.3798820530717375
DJ,0.04971603196790488,-0.22767211881743046,0.17184442766600827,-0.5400241652418791
DK,-2.8246555906549298,-0.24294366722217595,0.6640245037743036,0.47573329726969826
DM,-0.5302112212609417,-0.3099095436325464,-0.4722422505163743,-0.5247017917740673
