iso3_mapped,emb_0,emb_1,emb_2
AND,-2.1555257159673413,-0.0990451361380252,1.090774663308155
ARE,-2.354902171426639,-0.0864024824155423,1.196469004030822
AFG,2.3810747391979885,-0.0138567664755588,-0.7914272665842951
ATG,-0.6006505690849169,-0.6964834666562194,-1.296733976251902
ALB,0.1386542006483375,-0.2340584075762279,-0.686938260779528
ARM,-0.0585326337303768,-0.2484698236799131,-0.4089131197268232
AGO,1.7206477884523297,0.3910742621444317,1.0830695571227984
ARG,-1.5875486700545218,-0.3612914613249284,0.0492733558984954
AUT,-1.840180557281823,-0.2296226478365806,0.6701244223678339
AUS,-2.8173985987261188,-0.4193974099521898,0.2435525614704692
ABW,-1.9404870756689547,-0.3734939628599358,-0.6850273936948309
AZE,-0.4975392509623376,-0.4384830458883749,-0.5217920238546027
BIH,-0.1264747215532047,-0.4869964735149975,-0.6169932278041579
BRB,-0.9944673754936784,-0.3015011579044738,-0.7739508375696046
BGD,1.249684312109097,0.3175017345446226,-0.8896463545280494
BEL,-3.1381222893674545,-0.3056912873923615,0.0654765545644973
BFA,3.69692037872234,0.6226427287593443,0.9450533441757828
BGR,-1.165612655030772,-0.4028041356551779,-0.0997671661640028
BHR,-2.4982626339887823,0.7477134262954354,0.7413469722998279
BDI,4.576609341364472,1.120074056443744,0.7335152837973851
BEN,3.0104607184938397,0.6482718338563855,0.7588834110386771
BMU,-2.888967467787257,0.7396574910119493,2.0956597306627915
BRN,-2.046422679354689,-0.0377894364345131,1.3981251979326803
BOL,-0.2408678608880233,-0.359178494450353,-0.333870309853711
BRA,-1.2256701791874454,-0.4234927664161613,-0.1691436370670391
BHS,-1.2063406657161162,-0.3216875414078289,0.4486757362195577
BTN,0.5057324735673089,-0.4141426930402238,-0.905800357889636
BWA,0.1823764227003577,-0.1535924909352876,0.5448394131126373
BLR,-1.045281955843076,-0.3383826706035363,-0.0746041674790095
BLZ,0.2830226653328417,-0.4806395832931077,-0.7601839052536706
CAN,-2.1141488528106196,-0.2946198441066738,0.6332052114543736
COD,2.7604283021947063,0.4348211787074369,1.0117553665634047
CAF,4.497458961914618,1.0517736266870066,1.60816379820268
COG,0.7689718643462548,-0.0031502120363385,0.3641471970857193
CHE,-2.4448980503981854,-0.0300775463354993,1.2454602455413812
CIV,1.817182645438417,0.1710461828936074,0.2875604992164158
CHL,-1.4973132097926545,-0.3709315802509698,0.1218474905733671
CMR,1.8295541905920776,0.1899454385492854,0.3765630250724827
CHN,-0.3925133935703644,-0.3573384966265949,-0.427047693255591
COL,-0.8666851781291324,-0.3980949024401805,-0.2943014474764138
CRI,-1.5800502074372853,-0.5284543980632889,-0.5903775140221593
CPV,-0.4553974226832386,-0.3912140259307455,-0.4561121725356383
CUW,-2.2364456078663295,-0.3988883569154844,-0.2774729861794742
CYP,-1.4316982532577884,-0.3392683796855036,0.1517473242042318
CZE,-1.5947301676832804,-0.2968575071227018,0.2968414192314624
DEU,-2.0991670607387793,-0.117562918625841,0.8576893197512266
DJI,0.0497160319679048,-0.2276721188174305,0.1718444276660082
DNK,-2.82465559065493,-0.242943667222176,0.6640245037743036
DMA,-0.5302112212609417,-0.3099095436325464,-0.4722422505163742
DOM,-0.6001196957222739,-0.246180651864328,0.010158645777744
DZA,-0.5892149815369422,-0.3843678303433963,-0.5108370895753219
ECU,-0.3985897316836941,-0.4350870915142976,-0.5816831400318495
EST,-1.5983987055206206,-0.4483503287405037,-0.0314225457517791
EGY,0.4462832861785772,-0.3541040995795051,-0.6803509523335624
ESP,-2.0126185762047957,-0.3739792479686697,0.1166243222109813
ETH,4.083865192388214,0.6840163606253488,0.3403162619833728
REU,-1.8264897935460815,-0.3077055359883436,0.3624083247162919
FIN,-2.5839203024709225,-0.5204014229325119,-0.1399024200078462
FJI,0.1554812487154473,-0.3259226422378708,-0.5858173648757085
FSM,1.871458347926116,-0.084658720483115,-1.1070603528132736
FRO,-0.3343825877176405,0.0103588389637638,0.4192252660370946
FRA,-1.8779132308933435,-0.2543921914035545,0.5335362804985345
GAB,-0.4880601314023385,-0.1330611358518696,0.6335225003675397
GBR,-2.256465641329184,-0.2586478898242807,0.3310136771399132
GRD,-0.1164706965726096,-0.4514653244920654,-1.0853261384528945
GEO,-0.6325592750439025,-0.5101205467159293,-0.774235113437923
GHA,1.2229242285073751,0.0402142258227888,-0.1992728126214008
GRL,-1.2473889468038386,0.24206863178012,1.3378252832900952
GMB,1.0333524430604637,0.1630892300045814,-0.331250560552579
GIN,2.275809988200461,0.2542339224782793,-0.1106337111812901
GNQ,-0.2198718054881268,-0.1469480670034062,0.4458932502760536
GRC,-1.4183819566086768,-0.3679992919278414,0.0260950875074061
GTM,0.7602305726556152,-0.1531092443379377,-0.0673067400471412
GNB,3.004167226831089,0.6708995205581674,0.2394264692037634
GUY,1.0787347460552208,-0.2700998969871984,-0.8325049353534122
HKG,-3.1514298739026496,3.4099302461269043,0.0263500115371885
HND,0.950010455821507,-0.1503530227560306,-0.1322961270208094
HRV,-1.0515736283748434,-0.4828747210041055,-0.3436043393956015
HTI,1.6679380752958253,0.3804456095450885,0.0449246882692171
HUN,-1.30726499390884,-0.365183219093509,-0.0098975175260245
IDN,0.0961763289088202,-0.3120736372582808,-0.718374361968161
IRL,-2.910220741774636,-0.1820065478720864,1.0298085382785611
ISR,-1.9160783856030172,-0.0757380356794067,0.6018545605750206
IND,1.1245421323796612,-0.0888897337816631,-0.966817652730791
IRQ,-0.6563701799724047,-0.455925772448082,-0.3784054395468028
IRN,-0.345905316546546,-0.2720861137558841,-0.1443902067999208
ISL,-2.4146429444671216,-0.1560813470783853,0.9667999447097612
ITA,-1.5880063895034315,-0.2580658642141258,0.3144129583752458
JAM,-0.0820990269811777,-0.3570831747563878,-0.631271213223603
JOR,-0.947253456033022,-0.356111150743717,-0.1121199869579221
JPN,-1.9804903557144744,-0.1280259229188946,0.5803422556095087
KEN,2.0117556152319476,0.0638087339861096,-0.4056670886300195
KGZ,0.581228743119234,-0.5311404178286975,-1.2294038803572291
KHM,1.861252533723175,-0.0061976139036678,-0.2307500003929174
KIR,1.1939443722187324,0.0212160589196674,-0.7098866920908096
COM,2.6770152945895385,0.4232022682803468,-0.5581134183750562
KNA,-0.8402747784676595,-0.6882484212224925,-1.138719551171954
KOR,-1.8012391462912132,-0.0256245279672182,0.5234887490703206
KWT,-2.211801110452012,-0.0676307132507055,1.0578446378072923
CYM,-2.4547380257760523,0.1497124662821803,1.7588798367363472
KAZ,-0.8127249424080073,-0.4321537784360166,-0.1885198183304438
LAO,1.330334332816318,-0.2468316648531434,-0.6539321818740631
LBN,-0.6591908016211265,-0.0020312868753456,0.3029529199805957
LCA,0.0005979173294959,-0.5589803016018633,-1.0548622773527
LKA,0.4816339299213759,-0.4765098365959025,-1.364350129384388
LBR,3.922734587490552,1.0255713081599256,1.2943399089326235
LSO,1.8439914131050543,0.0166661349774612,0.3453469979698564
LTU,-1.4204122174808136,-0.3942878621822171,0.029728632562285
LUX,-3.724217746365331,0.3911276352301649,2.8153586476035226
LVA,-1.3072226667938796,-0.4445790964609172,-0.1647725723771138
LBY,-0.4506748903421589,-0.1569208708824263,0.5203433589712012
MAR,0.1600383933540744,-0.3273151026528622,-0.504146300931441
MDA,0.1104138651640135,-0.4877311743948662,-1.047022011541453
MNE,-0.7296689589981213,-0.4369465521151692,-0.2542078755506355
MDG,3.636138293993581,0.5994764854361035,0.7918055962681816
MHL,0.1176540108005507,-0.0684600190568937,-0.4089395701270298
MKD,-0.2761958402475918,-0.337674090631726,-0.289879079897675
MLI,3.7006127747582815,0.5875758593641365,0.4245598129932743
MMR,2.1760472239973576,0.1018001010022141,-0.4039078477701289
MNG,-0.1821785923152513,-0.2977916928528515,-0.3469256188659439
MCO,-4.388802845009795,10.85487209587592,-1.1220228291025922
MRT,2.68179344710027,0.5402310639351564,1.1107263211991458
MLT,-2.246060062647093,0.5478724569035677,0.6706142571228403
MUS,-0.3693165271416705,-0.2836436910142989,-0.8133027129200894
MDV,0.1458280674036154,0.3382168736481477,-0.754706123280287
MWI,4.151605029921821,0.7506720391051795,0.7920907676185401
MEX,-1.181660902144009,-0.4461297249058505,-0.2201943394696872
MYS,-0.5714367122980545,-0.1555568892299004,0.3120624043309348
MOZ,3.659023059425414,0.6470299331639383,0.8582859268592431
NER,5.00831556143162,0.9731571867362502,0.9881099186102228
NGA,2.356921719593408,0.5996981755488018,0.8149335657377997
NIC,0.5739210011201853,-0.1852247143766373,-0.465854635869139
NLD,-2.771009712396606,0.0235563239269607,0.8173358398056125
NOR,-2.821961532118976,-0.1109245919730189,1.3213116648590513
NPL,0.978127360368374,0.083859626581238,-0.3282356550737535
NRU,-0.960302971710992,0.0121501161480532,0.1093721009879545
NZL,-1.8945540455292411,-0.2893036581534484,0.3544392933881612
FRO,-1.90625551291861,-0.3174283169852764,0.4906622631790246
OMN,-1.527594374499739,-0.3613502791119242,0.3011695841783353
PAN,-0.6221821227314773,-0.2830405557133866,0.285014445759114
PER,-0.8618191979871719,-0.3628754594686128,-0.1824987295735901
PNG,3.6093976785809376,0.4427884712841119,0.6151576833265033
PHL,0.2585607217863243,-0.2166014464690986,-0.6700824363411876
PAK,2.1179731591043556,0.1492950299164668,-0.3083978898710319
POL,-1.3051036348767129,-0.4542643799276338,-0.2826442572558142
PRI,-1.820483367450089,-0.0802828097437738,0.6890133285674357
PSE,-0.7088889389120555,-0.0219775939902963,-0.4074211198725525
PRT,-1.5263343818481914,-0.4987847776537137,-0.353315631109443
PLW,-1.4409169215175368,-0.5518424918102514,-0.4916438859994031
PRY,-0.1141298582233982,-0.3333384680158739,-0.3248746227881243
